"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
170736,24,"Spanish (Mexican)","WS","First",NA,"Female",NA,"393",TRUE,FALSE,"Marchman","College","production",444,TRUE,"All Data",1092,"All Data (n = 1092)"
170737,22,"Spanish (Mexican)","WS","First",NA,"Female",NA,"394",TRUE,FALSE,"Marchman","Secondary","production",297,TRUE,"All Data",1092,"All Data (n = 1092)"
170738,29,"Spanish (Mexican)","WS","First",NA,"Female",NA,"396",TRUE,FALSE,"Marchman","College","production",562,TRUE,"All Data",1092,"All Data (n = 1092)"
170739,30,"Spanish (Mexican)","WS","First",NA,"Male",NA,"397",TRUE,FALSE,"Marchman","Secondary","production",492,TRUE,"All Data",1092,"All Data (n = 1092)"
170740,28,"Spanish (Mexican)","WS","First",NA,"Female",NA,"398",TRUE,FALSE,"Marchman","College","production",502,TRUE,"All Data",1092,"All Data (n = 1092)"
170741,24,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"399",TRUE,FALSE,"Marchman","Some Secondary","production",124,TRUE,"All Data",1092,"All Data (n = 1092)"
170742,23,"Spanish (Mexican)","WS","First",NA,"Male",NA,"400",TRUE,FALSE,"Marchman","College","production",69,TRUE,"All Data",1092,"All Data (n = 1092)"
170743,29,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"401",TRUE,FALSE,"Marchman","Primary","production",164,TRUE,"All Data",1092,"All Data (n = 1092)"
170744,27,"Spanish (Mexican)","WS","First",NA,"Female",NA,"402",TRUE,FALSE,"Marchman","Secondary","production",481,TRUE,"All Data",1092,"All Data (n = 1092)"
170745,26,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"403",TRUE,FALSE,"Marchman","College","production",679,TRUE,"All Data",1092,"All Data (n = 1092)"
170746,25,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"406",TRUE,FALSE,"Marchman","Some Secondary","production",360,TRUE,"All Data",1092,"All Data (n = 1092)"
170747,28,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"407",TRUE,FALSE,"Marchman","College","production",680,TRUE,"All Data",1092,"All Data (n = 1092)"
170748,28,"Spanish (Mexican)","WS","First",NA,"Female",NA,"408",TRUE,FALSE,"Marchman","Secondary","production",654,TRUE,"All Data",1092,"All Data (n = 1092)"
170749,21,"Spanish (Mexican)","WS","First",NA,"Male",NA,"409",TRUE,FALSE,"Marchman","College","production",605,TRUE,"All Data",1092,"All Data (n = 1092)"
170750,24,"Spanish (Mexican)","WS","First",NA,"Male",NA,"410",TRUE,FALSE,"Marchman","Some Secondary","production",309,TRUE,"All Data",1092,"All Data (n = 1092)"
170751,26,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"411",TRUE,FALSE,"Marchman","Some Secondary","production",115,TRUE,"All Data",1092,"All Data (n = 1092)"
170752,23,"Spanish (Mexican)","WS","Fourth",NA,"Female",NA,"412",TRUE,FALSE,"Marchman","Primary","production",230,TRUE,"All Data",1092,"All Data (n = 1092)"
170753,26,"Spanish (Mexican)","WS","First",NA,"Male",NA,"413",TRUE,FALSE,"Marchman","Some Secondary","production",221,TRUE,"All Data",1092,"All Data (n = 1092)"
170754,24,"Spanish (Mexican)","WS","Fifth",NA,"Female",NA,"414",TRUE,FALSE,"Marchman","Secondary","production",202,TRUE,"All Data",1092,"All Data (n = 1092)"
170755,23,"Spanish (Mexican)","WS","Fourth",NA,"Male",NA,"415",TRUE,FALSE,"Marchman","Secondary","production",448,TRUE,"All Data",1092,"All Data (n = 1092)"
170756,24,"Spanish (Mexican)","WS","First",NA,"Male",NA,"416",TRUE,FALSE,"Marchman","Secondary","production",605,TRUE,"All Data",1092,"All Data (n = 1092)"
170757,22,"Spanish (Mexican)","WS","First",NA,"Female",NA,"418",TRUE,FALSE,"Marchman","Secondary","production",367,TRUE,"All Data",1092,"All Data (n = 1092)"
170758,27,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"419",TRUE,FALSE,"Marchman","College","production",358,TRUE,"All Data",1092,"All Data (n = 1092)"
170759,23,"Spanish (Mexican)","WS","First",NA,"Female",NA,"420",TRUE,FALSE,"Marchman","College","production",101,TRUE,"All Data",1092,"All Data (n = 1092)"
170760,25,"Spanish (Mexican)","WS","First",NA,"Male",NA,"421",TRUE,FALSE,"Marchman","Secondary","production",606,TRUE,"All Data",1092,"All Data (n = 1092)"
170761,24,"Spanish (Mexican)","WS","First",NA,"Female",NA,"422",TRUE,FALSE,"Marchman","Some Secondary","production",527,TRUE,"All Data",1092,"All Data (n = 1092)"
170762,26,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"423",TRUE,FALSE,"Marchman","Primary","production",47,TRUE,"All Data",1092,"All Data (n = 1092)"
170763,25,"Spanish (Mexican)","WS","Second",NA,"Female",NA,"424",TRUE,FALSE,"Marchman","Primary","production",244,TRUE,"All Data",1092,"All Data (n = 1092)"
170764,24,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"425",TRUE,FALSE,"Marchman","Secondary","production",567,TRUE,"All Data",1092,"All Data (n = 1092)"
170765,27,"Spanish (Mexican)","WS","Third",NA,"Male",NA,"426",TRUE,FALSE,"Marchman","Primary","production",205,TRUE,"All Data",1092,"All Data (n = 1092)"
170766,29,"Spanish (Mexican)","WS","First",NA,"Male",NA,"427",TRUE,FALSE,"Marchman","Secondary","production",426,TRUE,"All Data",1092,"All Data (n = 1092)"
170767,22,"Spanish (Mexican)","WS","First",NA,"Male",NA,"428",TRUE,FALSE,"Marchman","Secondary","production",311,TRUE,"All Data",1092,"All Data (n = 1092)"
170768,24,"Spanish (Mexican)","WS","First",NA,"Female",NA,"429",TRUE,FALSE,"Marchman","College","production",422,TRUE,"All Data",1092,"All Data (n = 1092)"
170769,24,"Spanish (Mexican)","WS","First",NA,"Female",NA,"430",TRUE,FALSE,"Marchman","Secondary","production",680,TRUE,"All Data",1092,"All Data (n = 1092)"
170770,30,"Spanish (Mexican)","WS","First",NA,"Female",NA,"431",TRUE,FALSE,"Marchman","Primary","production",395,TRUE,"All Data",1092,"All Data (n = 1092)"
170771,23,"Spanish (Mexican)","WS","Second",NA,"Male",NA,"433",TRUE,FALSE,"Marchman","Some Secondary","production",181,TRUE,"All Data",1092,"All Data (n = 1092)"
