"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
172072,8,"Spanish (Mexican)","WG",NA,NA,"Female",NA,"775",TRUE,FALSE,"Marchman","Primary","production",48,TRUE,"All Data",760,"All Data (n = 760)"
172073,9,"Spanish (Mexican)","WG","First",NA,"Female",NA,"776",TRUE,FALSE,"Marchman","College","production",1,TRUE,"All Data",760,"All Data (n = 760)"
172074,16,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"777",TRUE,FALSE,"Marchman","College","production",15,TRUE,"All Data",760,"All Data (n = 760)"
172075,16,"Spanish (Mexican)","WG","Third",NA,"Female",NA,"778",TRUE,FALSE,"Marchman","College","production",3,TRUE,"All Data",760,"All Data (n = 760)"
172076,11,"Spanish (Mexican)","WG","First",NA,"Male",NA,"779",TRUE,FALSE,"Marchman","College","production",7,TRUE,"All Data",760,"All Data (n = 760)"
172077,13,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"780",TRUE,FALSE,"Marchman","College","production",9,TRUE,"All Data",760,"All Data (n = 760)"
172078,13,"Spanish (Mexican)","WG","First",NA,"Male",NA,"781",TRUE,FALSE,"Marchman","Secondary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172079,16,"Spanish (Mexican)","WG","Fifth",NA,"Male",NA,"782",TRUE,FALSE,"Marchman","Secondary","production",2,TRUE,"All Data",760,"All Data (n = 760)"
172080,16,"Spanish (Mexican)","WG","First",NA,"Male",NA,"783",TRUE,FALSE,"Marchman","College","production",7,TRUE,"All Data",760,"All Data (n = 760)"
172081,16,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"784",TRUE,FALSE,"Marchman","Secondary","production",8,TRUE,"All Data",760,"All Data (n = 760)"
172082,15,"Spanish (Mexican)","WG","Fourth",NA,"Female",NA,"785",TRUE,FALSE,"Marchman","Secondary","production",3,TRUE,"All Data",760,"All Data (n = 760)"
172083,14,"Spanish (Mexican)","WG","First",NA,"Female",NA,"786",TRUE,FALSE,"Marchman","Secondary","production",70,TRUE,"All Data",760,"All Data (n = 760)"
172084,14,"Spanish (Mexican)","WG","Third",NA,"Female",NA,"787",TRUE,FALSE,"Marchman","College","production",9,TRUE,"All Data",760,"All Data (n = 760)"
172085,10,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"789",TRUE,FALSE,"Marchman","Secondary","production",9,TRUE,"All Data",760,"All Data (n = 760)"
172086,10,"Spanish (Mexican)","WG","First",NA,"Male",NA,"790",TRUE,FALSE,"Marchman","Secondary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172087,10,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"791",TRUE,FALSE,"Marchman","Some Secondary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172088,10,"Spanish (Mexican)","WG","Third",NA,"Female",NA,"792",TRUE,FALSE,"Marchman","Some Secondary","production",8,TRUE,"All Data",760,"All Data (n = 760)"
172089,10,"Spanish (Mexican)","WG","First",NA,"Male",NA,"793",TRUE,FALSE,"Marchman","Secondary","production",2,TRUE,"All Data",760,"All Data (n = 760)"
172090,10,"Spanish (Mexican)","WG","First",NA,"Male",NA,"794",TRUE,FALSE,"Marchman","Some Secondary","production",17,TRUE,"All Data",760,"All Data (n = 760)"
172091,15,"Spanish (Mexican)","WG","Third",NA,"Male",NA,"795",TRUE,FALSE,"Marchman","College","production",108,TRUE,"All Data",760,"All Data (n = 760)"
172092,8,"Spanish (Mexican)","WG","First",NA,"Male",NA,"796",TRUE,FALSE,"Marchman","College","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172093,8,"Spanish (Mexican)","WG","First",NA,"Male",NA,"797",TRUE,FALSE,"Marchman","Secondary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172094,15,"Spanish (Mexican)","WG","Third",NA,"Female",NA,"798",TRUE,FALSE,"Marchman","Secondary","production",89,TRUE,"All Data",760,"All Data (n = 760)"
172095,16,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"799",TRUE,FALSE,"Marchman","Some Secondary","production",2,TRUE,"All Data",760,"All Data (n = 760)"
172096,10,"Spanish (Mexican)","WG","Third",NA,"Male",NA,"800",TRUE,FALSE,"Marchman","None","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172097,8,"Spanish (Mexican)","WG","First",NA,"Male",NA,"801",TRUE,FALSE,"Marchman","College","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172098,8,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"802",TRUE,FALSE,"Marchman","Some Secondary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
172099,15,"Spanish (Mexican)","WG","First",NA,"Male",NA,"803",TRUE,FALSE,"Marchman","Some Secondary","production",18,TRUE,"All Data",760,"All Data (n = 760)"
172100,13,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"804",TRUE,FALSE,"Marchman","Some Secondary","production",12,TRUE,"All Data",760,"All Data (n = 760)"
172101,15,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"805",TRUE,FALSE,"Marchman","Some Secondary","production",6,TRUE,"All Data",760,"All Data (n = 760)"
172102,13,"Spanish (Mexican)","WG","First",NA,"Male",NA,"806",TRUE,FALSE,"Marchman","Secondary","production",19,TRUE,"All Data",760,"All Data (n = 760)"
172103,8,"Spanish (Mexican)","WG","First",NA,"Female",NA,"807",TRUE,FALSE,"Marchman","None","production",1,TRUE,"All Data",760,"All Data (n = 760)"
172104,18,"Spanish (Mexican)","WG","First",NA,"Male",NA,"808",TRUE,FALSE,"Marchman","Secondary","production",38,TRUE,"All Data",760,"All Data (n = 760)"
172105,18,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"809",TRUE,FALSE,"Marchman",NA,"production",88,TRUE,"All Data",760,"All Data (n = 760)"
172106,14,"Spanish (Mexican)","WG","First",NA,"Male",NA,"810",TRUE,FALSE,"Marchman","Some Secondary","production",4,TRUE,"All Data",760,"All Data (n = 760)"
172107,17,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"811",TRUE,FALSE,"Marchman","College","production",131,TRUE,"All Data",760,"All Data (n = 760)"
172108,12,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"812",TRUE,FALSE,"Marchman","Primary","production",3,TRUE,"All Data",760,"All Data (n = 760)"
172109,12,"Spanish (Mexican)","WG","Second",NA,"Male",NA,"813",TRUE,FALSE,"Marchman","Some Secondary","production",9,TRUE,"All Data",760,"All Data (n = 760)"
172110,13,"Spanish (Mexican)","WG","Second",NA,"Female",NA,"814",TRUE,FALSE,"Marchman","Some Secondary","production",26,TRUE,"All Data",760,"All Data (n = 760)"
172111,11,"Spanish (Mexican)","WG","First",NA,"Male",NA,"815",TRUE,FALSE,"Marchman","Some Secondary","production",0,TRUE,"All Data",760,"All Data (n = 760)"
